Temperature ,Precipitation
24.95,2.34
25.36,1.48
26.74,1.26
25.23,1.99
25.16,2.61
25.41,2.82
25.36,1.59
27.19,0.93
26.03,5.1
25.57,4.2
25.41,1.32
26.26,0.83
25.88,2.28
25.71,3.06
25.72,2.08
25.19,5.68
24.89,2.67
26.21,1.51
26.19,6.51
25.68,2.14
26.21,3.78
25.24,2.17
25.66,3.7
25.71,1.92
25.84,1.88
25.75,3.53
25.77,6.04
25.67,6.81
25.49,2.38
25.89,3.13
25.49,12.22
26.17,5.87
25.63,5.16
24.8,7.67
25.45,4.16
26.61,3.33
25.91,9.76
26.29,9.92
25.4,7.39
26.39,2.11
26.23,6.94
25.73,3.63
25.75,9.93
26.52,1.98
26,0.78
25.27,2.76
27.13,0.21
25.17,3.39
26.3,1.24
25.23,1.19
25.56,0.98
27.25,1.26
25.41,3.55
26.45,0.45
26.2,2.76
26.54,0.29
26.02,2.84
26.08,1.25
26.43,0.54
25.18,4.95
25.43,3.73
27.14,0.4
25.54,5.03
26.02,6.53
26.23,4.08
25.48,1.64
25.58,2.55
25.92,1.73
26.54,0.88
25.82,5.11
25.76,0.75
25.79,5.02
26.06,5.96
26.48,0.56
25.82,3.74
25.97,7.73
26.09,5.88
25.36,2.06
25.27,2
26.67,2.61
25.35,2.35
26.21,8.08
25.08,4.8
25.75,5.54
26.14,7.32
26.14,4.05
26.15,6.02
26.66,1.93
27.33,0.53
26.98,0.42
27.94,0.22
26.63,1.59
27.5,0.96
26.24,1.27
27.24,0.31
28.16,0.71
26,2.77
27.33,0.52
26.57,1.73
27.5,0.26
26.64,2.3
27.28,2.09
26.84,3.17
26.18,1.86
26.01,1.37
27.77,0.36
26.87,3.69
26.66,4.69
26.61,3.39
26.6,2.39
27.17,0.57
27.19,2.71
27.22,1.59
26.52,2.7
27,0.54
26.27,4.79
26.82,1.88
27.95,0.52
26.09,8.48
26.27,5.18
26.93,1.02
26.3,4.29
26.64,0.85
27.81,0.17
26.3,3.25
26.6,2.65
25.93,5.6
27.08,1.27
26.86,3.41
26.87,4.04
26.25,1.4
27.93,0.55
29.12,0.82
28.92,0.18
28.83,0.26
27.73,4.32
28.43,1.81
27.71,1.52
29,0.19
28.95,1.54
27.53,1.58
28.73,1.34
28.07,1.64
29.09,0.34
28.02,0.67
27.71,5.79
27.91,2.49
27.09,6.25
28.2,1.05
28.73,0.21
27.08,4.98
27.62,1.89
28.27,2.07
28.41,1.02
29.27,0.6
28.89,0.87
28.4,1.29
27.93,1.26
28.53,0.71
27.01,4.77
27.76,4.98
28.84,1.18
26.42,1.2
27.33,2.11
28.99,0.78
27.55,2.7
28.53,1.12
29.57,0.41
27.45,6.4
27.64,3.19
27.1,6.48
28.81,0.65
27.48,2.6
26.91,12.38
28.07,1.38
29.66,0.28
29.51,1.06
29.21,1.58
29.93,0.12
27.93,2.77
28.33,2.36
29.39,0.7
29.77,0.27
29.14,2.76
27.89,6.02
28.1,5.6
28.65,2.59
29.82,0.59
29.23,0.4
28.88,3.48
28.71,1.08
27.81,3
28.4,5.29
29.42,1.54
27.58,5.96
28.33,3.86
28.35,5.18
29.09,1.85
28.73,3.37
28.23,5.05
29.47,1.43
28.02,4.6
28.88,4.83
27.01,10.09
27.53,5.19
29.87,0.93
27.42,5.76
28.21,3.59
29.32,4.08
29.16,2.16
30.33,0.35
29.48,4.39
28.39,3.66
28.63,3.54
28.83,5.92
29.55,5.35
28.42,4.46
27.69,4.29
28.78,5.71
30.45,1.64
28.41,3.75
28.28,5.4
29,4.63
27.21,6.58
27.67,3.25
28.36,4.86
29.02,1.5
27.23,6.47
27.09,5.89
27.31,6.68
28.16,6.36
28.52,3.72
29.01,3.76
27.67,6.4
28.7,4.13
27.4,10.71
27.5,7.57
29.02,3.62
27.01,6
27.42,6.57
27.34,7.01
28.17,5.79
27.66,5.12
27.08,6.81
28.66,4.69
27.81,9.18
28.03,7.24
27.07,8.94
27.11,6.42
29.06,5.15
27.28,8.31
27.52,4.5
27.77,10.86
28.46,6.69
28.45,7.79
28.33,7.47
28.32,6.1
28,5.57
28.28,10.44
28.14,7.11
27.93,8.58
27.74,6.71
28.07,7.27
28.99,6.33
27.88,3.67
27.07,1.98
27.33,5.65
27.41,0.11
26.78,5.83
27.03,3.98
27.43,5.19
27.4,4.03
27.21,4.86
26.99,6.03
27.07,5.81
27.51,3.74
27.17,6.28
26.75,4.7
27.42,5.24
27.06,6.37
26.97,9.12
28.59,3.77
26.77,5.9
26.83,6.46
26.88,5.58
27.26,5.59
27.32,9.68
27.01,5.47
27.36,7.81
26.91,4.12
27.39,6.64
26.9,7.27
26.93,5.74
27.73,9.25
26.84,9.14
26.93,9.51
27.16,10.57
26.92,8.39
27.34,5.31
27.75,10.78
27.33,8.93
27.42,5.8
27.4,10.92
27.69,6.82
27.75,4.64
27.69,8.21
27.75,6.36
27.83,10.63
27.95,2.32
27.17,3.9
27.3,6.59
27.12,3.68
27.23,1.05
27,3.39
27.6,2.98
27.73,4.88
26.72,5.95
26.89,4.69
27.1,5.02
27.48,2.62
26.72,6.15
27.03,3.37
27.51,5.39
27.31,5.61
26.81,4.01
28.28,3.21
26.49,7.32
26.86,5.46
26.93,5.01
26.94,7.01
26.99,5.55
26.65,5.11
26.98,7
26.81,6.83
26.94,3.99
26.8,6.41
27.43,4.23
27.2,7.63
26.85,9.22
27.26,1.49
26.87,8.78
27.19,8.56
27.48,6.68
27.54,2.26
27.6,9.45
27.31,4.02
27.15,9.75
27.55,12.03
27.8,5.48
27.53,11.72
27.79,5.35
28.24,6.75
28.01,3.88
27.15,2.58
27.41,6.08
27.45,0.43
26.47,9.84
26.93,3.46
27.48,4.98
27.78,3.85
26.85,4.46
26.92,5.03
27.04,2.28
27.42,2.72
26.92,2.78
26.45,4.54
27.23,9.56
26.9,6.6
26.88,5.56
27.95,6.42
26.84,5.46
27.01,5.6
27.28,4.56
26.47,6.05
26.59,8.01
27.11,5.2
26.9,7.02
26.92,6.41
27.13,10.18
26.85,6.43
27.14,4.91
27.66,6.53
26.97,5.86
26.65,12.54
27.28,3.96
26.9,7.82
27.2,8.9
27.3,8.3
27.55,12.17
27.18,6.27
27.43,9.5
28.07,5.19
27.45,8.14
27.52,5.17
27.93,8.15
27.86,6.03
27.38,6.7
27.46,2.26
26.82,6.08
26.89,6.04
26.43,7.87
26.9,7.55
27.6,4.5
26.92,9.27
26.93,5.01
26.83,6.36
27.03,4.34
27.12,4.7
26.87,4.02
26.68,4.94
27.06,10.89
27.34,9.71
27.24,3.76
27.41,8.57
27.11,5.55
26.8,8.41
27.06,7.47
27.11,6.66
26.97,7.31
26.7,6.82
27.3,6.76
26.73,5.68
26.78,6.19
27.21,6.13
26.91,3.4
27.13,10.78
26.88,8.07
26.66,6.88
26.75,4.4
26.88,9.03
27.54,4.71
27.13,11.26
27.4,9.11
27.63,4.64
27.52,10.8
27.39,17.67
27.39,8.66
27.52,11.39
27.98,8.26
28.11,5.77
27,3.81
27.47,2.01
26.5,5.53
26.65,3.8
26.54,5.35
26.58,5.64
26.97,6.51
26.62,8.76
26.66,2.93
26.29,8.56
26.3,3.34
26.09,4.4
27.28,3.87
26.52,1.88
26.95,4.18
26.78,8.14
27.04,3.18
27.14,4.68
26.36,6.66
26.87,6.43
26.54,11.91
26.82,3.5
26.86,4.39
26.97,3.01
26.93,3.59
27.02,2.65
26.49,8.02
27.02,5.05
26.94,5.61
26.86,6.12
26.93,6.78
26.79,3.4
26.77,7.15
26.85,5.3
27.16,2.48
26.74,8.29
27.32,4.71
26.98,4.91
27.18,3.04
27.08,8.88
27.33,6.18
27.3,5.85
27.65,5
27.88,3.15
26.01,2.7
27.45,1.04
25.22,4.43
25.96,4.82
25.75,2.5
25.55,1.95
26.68,1.81
25.22,2.5
25.61,1.61
25.66,2.9
26.06,2.91
26.12,2.59
26.4,7.6
26.02,3.21
25.94,6.04
25.67,5.88
26.42,2.98
26.94,5.99
26.37,6.51
26.43,7.58
25.58,8.48
26.44,2.85
25.53,8.32
26.47,2.95
26.03,8.09
26.75,6.03
26.25,4.8
26.28,5.11
25.96,1.96
26.6,5.05
26.6,10.71
26.58,4.5
26.85,3.52
26.3,8.92
26.81,3.78
26.88,6.21
26.89,9
26.62,7.41
26.69,6.95
26.95,13.23
26.38,8.8
26.45,5.65
27.19,3.79
27.13,7.9